PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,
,,,,,,
DENOMINATOR EXCLUSIONS STRATUM D,,,,,,
"Exclude cases:
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for shock or cardiac arrest (see above)
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for trauma
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for hemorrhage
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for gastrointestinal hemorrhage
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for abortion-related shock
• with any-listed ICD-9-CM or ICD-10-PCS procedure codes for lung cancer resection
• MDC 4 (diseases/disorders of respiratory system)
• MDC 5 (diseases/disorders of circulatory system)
• transferred to an acute care facility (DISP = 2)
• with missing discharge disposition (DISP=missing), gender (SEX=missing), age (AGE=missing), quarter (DQTR=missing), year (YEAR=missing), or principal diagnosis (DX1=missing)
",,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_G.pdf,,,,,,
,,,,,,
Hemorrhage diagnosis codes: (HEMORID),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
2851  ,ACUTE POSTHEMORRHAGIC ANEMIA ,D62  ,Acute posthemorrhagic anemia,,,
4590  ,"OTHER DISORDERS OF CIRCULATORY SYSTEM, HEMORRHAGE, UNSPECIFIED ",D7801  ,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen,,,
56881 ,HEMOPERITONEUM ,D7802  ,Intraoperative hemorrhage and hematoma of the spleen complicating other procedure,,,
9582  ,"CERTAIN EARLY COMPLICATIONS OF TRAUMA, SECONDARY AND RECURRENT HEMORRHAGE ",D7821  ,Postprocedural hemorrhage and hematoma of the spleen following a procedure on the spleen,,,
99811 ,HEMORRHAGE COMPLICATING A PROCEDURE,D7822  ,Postprocedural hemorrhage and hematoma of the spleen following other procedure,,,
,,E3601  ,Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating an endocrine system procedure,,,
,,E3602  ,Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating other procedure,,,
,,G9731  ,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating a nervous system procedure,,,
,,G9732  ,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating other procedure,,,
,,G9751  ,Postprocedural hemorrhage and hematoma of a nervous system organ or structure following a nervous system procedure,,,
,,G9752  ,Postprocedural hemorrhage and hematoma of a nervous system organ or structure following other procedure,,,
,,H59111  ,Intraoperative hemorrhage and hematoma of right eye and adnexa complicating an ophthalmic procedure,,,
,,H59112  ,Intraoperative hemorrhage and hematoma of left eye and adnexa complicating an ophthalmic procedure,,,
,,H59113  ,"Intraoperative hemorrhage and hematoma of eye and adnexa complicating an ophthalmic procedure, bilateral",,,
,,H59119  ,Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating an ophthalmic procedure,,,
,,H59121  ,Intraoperative hemorrhage and hematoma of right eye and adnexa complicating other procedure,,,
,,H59122  ,Intraoperative hemorrhage and hematoma of left eye and adnexa complicating other procedure,,,
,,H59123  ,"Intraoperative hemorrhage and hematoma of eye and adnexa complicating other procedure, bilateral",,,
,,H59129  ,Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating other procedure,,,
