PSI #04 Death Rate among Surgical Inpatients with Serious Treatable Complications,,,,,,
,,,,,,
DENOMINATOR EXCLUSIONS STRATUM B,,,,,,
"Exclude cases:
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for pneumonia (see above)
• with a principal ICD-9-CM or ICD-10-CM diagnosis code for respiratory complications
• with any-listed ICD-9-CM or ICD-10-CM diagnosis codes for viral pneumonia or influenza
• with any-listed ICD-9-CM or ICD-10-CM diagnosis codes or any-listed ICD-9-CM or ICD-10-PCS procedure codes for immunocompromised state
• with any-listed ICD-9-CM or ICD-10-PCS procedure codes for lung cancer
• MDC 4 (diseases/disorders of respiratory system)
• transferred to an acute care facility (DISP = 2)
• with missing discharge disposition (DISP=missing), gender (SEX=missing), age (AGE=missing), quarter (DQTR=missing), year (YEAR=missing), or principal diagnosis (DX1=missing)

",,,,,,
http://www.qualityindicators.ahrq.gov/Downloads/Modules/PSI/V50-ICD10/TechSpecs/PSI_Appendix_I.pdf,,,,,,
,,,,,,
Respiratory complications diagnosis codes: (FTR3EXA),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
9973  ,RESPIRATORY COMPLICATIONS (end 2008),J954  ,Chemical pneumonitis due to anesthesia,,,
99731  ,VENTL TR ASSOC PNEUMONIA ,J95851  ,Ventilator associated pneumonia,,,
99732  ,POSTPROC ASPIRATION PNEU ,J95859  ,Other complication of respirator [ventilator],,,
99739  ,RESPITORY COMP NEC ,J9588  ,"Other intraoperative complications of respiratory system, not elsewhere classified",,,
,,J9589  ,"Other postprocedural complications and disorders of respiratory system, not elsewhere classified",,,
,,,,,,
Viral pneumonia or influenza diagnosis codes: (FTR3EXB),,,,,,
ICD-9-CM,Description,ICD-10-CM,Description,,,
4800  ,ADENOVIRAL PNEUMONIA,A221  ,Pulmonary anthrax,,,
4801  ,RESP SYNCYT VIRAL PNEUM,A3701  ,Whooping cough due to Bordetella pertussis with pneumonia,,,
4802  ,PARAINFLUENZA VIRAL PNEUM,A3711  ,Whooping cough due to Bordetella parapertussis with pneumonia,,,
4803  ,PNEUMONIA DUE TO SARS,A3781  ,Whooping cough due to other Bordetella species with pneumonia,,,
4808  ,VIRAL PNEUMONIA NEC,A3791  ,"Whooping cough, unspecified species with pneumonia",,,
4809  ,VIRAL PNEUMONIA NOS,B250  ,Cytomegaloviral pneumonitis,,,
481   ,PNEUMOCOCCAL PNEUMONIA,B440  ,Invasive pulmonary aspergillosis,,,
483   ,PNEUMONIA ORGANISM NEC (end 1992),J09X1  ,Influenza due to identified novel influenza A virus with pneumonia,,,
4830  ,PNEU MYCPLSM PNEUMONIAE,J09X2  ,Influenza due to identified novel influenza A virus with other respiratory manifestations,,,
4831  ,PNEUMONIA D/T CHLAMYDIA,J09X3  ,Influenza due to identified novel influenza A virus with gastrointestinal manifestations,,,
4838  ,PNEUMON OTH SPEC ORGNSM,J09X9  ,Influenza due to identified novel influenza A virus with other manifestations,,,
4841  ,PNEUM W CYTOMEG INCL DIS,J1000  ,Influenza due to other identified influenza virus with unspecified type of pneumonia,,,
4843  ,PNEUMONIA IN WHOOP COUGH,J1001  ,Influenza due to other identified influenza virus with the same other identified influenza virus pneumonia,,,
4845  ,PNEUMONIA IN ANTHRAX,J1008  ,Influenza due to other identified influenza virus with other specified pneumonia,,,
4846  ,PNEUMONIA IN ASPERGILLOSIS,J101  ,Influenza due to other identified influenza virus with other respiratory manifestations,,,
4847  ,PNEUMONIA IN OTH SYS MYCOSES,J102  ,Influenza due to other identified influenza virus with gastrointestinal manifestations,,,
4848  ,PNEUMONIA IN INFECT DIS NEC,J1081  ,Influenza due to other identified influenza virus with encephalopathy,,,
4870  ,INFLUENZA W/ PNEUMONIA,J1082  ,Influenza due to other identified influenza virus with myocarditis,,,
4871  ,FLU W RESP MANIFEST NEC,J1083  ,Influenza due to other identified influenza virus with otitis media,,,
4878  ,FLU W MANIFESTATION NEC,J1089  ,Influenza due to other identified influenza virus with other manifestations,,,
488   ,FLU D/T AVIAN FLU VIRUS (end 2009),J1100  ,Influenza due to unidentified influenza virus with unspecified type of pneumonia,,,
4880  ,INFLUENZA DUE TO IDENTIFIED AVIAN FLU (end 2010),J1108  ,Influenza due to unidentified influenza virus with specified pneumonia,,,
48801 ,FLU DT IDEN AVIAN W PNEU,J111  ,Influenza due to unidentified influenza virus with other respiratory manifestations,,,
48802 ,FLU DT AVIAN W OTH RESP,J112  ,Influenza due to unidentified influenza virus with gastrointestinal manifestations,,,
48809 ,FLU DT AVIAN MANFEST NEC,J1181  ,Influenza due to unidentified influenza virus with encephalopathy,,,
4881  ,INFLUENZA DUE TO IDENTIFIED NOVEL H1N1 INFLUENZA VIRUS (end 2010) ,J1182  ,Influenza due to unidentified influenza virus with myocarditis,,,
48811 ,FLU DT 2009 H1N1 W PNEU,J1183  ,Influenza due to unidentified influenza virus with otitis media,,,
48812 ,FLU-2009 H1N1 W OTH RESP,J1189  ,Influenza due to unidentified influenza virus with other manifestations,,,
48819 ,FLU-2009 H1N1 W OTH MAN,J120  ,Adenoviral pneumonia,,,
48881 ,FLU DT NVL A VRS W PNEU,J121  ,Respiratory syncytial virus pneumonia,,,
48882 ,FLU DT NVL A W OTH RESP,J122  ,Parainfluenza virus pneumonia,,,
48889 ,FLU DT NOVEL A W OTH MAN,J123  ,Human metapneumovirus pneumonia,,,
,,J1281  ,Pneumonia due to SARS-associated coronavirus,,,
,,J1289  ,Other viral pneumonia,,,
,,J129  ,"Viral pneumonia, unspecified",,,
,,J13  ,Pneumonia due to Streptococcus pneumoniae,,,
,,J157  ,Pneumonia due to Mycoplasma pneumoniae,,,
,,J160  ,Chlamydial pneumonia,,,
,,J168  ,Pneumonia due to other specified infectious organisms,,,
,,J17  ,Pneumonia in diseases classified elsewhere,,,
,,,,,,
Lung cancer procedure codes: (LUNGCIP),,,,,,
ICD-9-CM,Description,ICD-10-PCS,Description,,,
3230 ,THORACOSCOPIC SURGERY ,0BBC4ZZ  ,"Excision of Right Upper Lung Lobe, Percutaneous Endoscopic Approach",,,
3239 ,OTH SEG LUNG RESECT NOS ,0BBD4ZZ  ,"Excision of Right Middle Lung Lobe, Percutaneous Endoscopic Approach",,,
3241 ,THORACOSCOPIC SURGERY ,0BBF4ZZ  ,"Excision of Right Lower Lung Lobe, Percutaneous Endoscopic Approach",,,
3249 ,LOBECTOMY OF LUNG NEC ,0BBG4ZZ  ,"Excision of Left Upper Lung Lobe, Percutaneous Endoscopic Approach",,,
3250 ,THORACOSCOPIC SURGERY ,0BBH4ZZ  ,"Excision of Lung Lingula, Percutaneous Endoscopic Approach",,,
3259 ,OTHER PNEUMONECTOMY NOS,0BBJ4ZZ  ,"Excision of Left Lower Lung Lobe, Percutaneous Endoscopic Approach",,,
,,0BBK0ZZ  ,"Excision of Right Lung, Open Approach",,,
,,0BBK3ZZ  ,"Excision of Right Lung, Percutaneous Approach",,,
,,0BBK4ZZ  ,"Excision of Right Lung, Percutaneous Endoscopic Approach",,,
,,0BBK7ZZ  ,"Excision of Right Lung, Via Natural or Artificial Opening",,,
,,0BBL0ZZ  ,"Excision of Left Lung, Open Approach",,,
,,0BBL3ZZ  ,"Excision of Left Lung, Percutaneous Approach",,,
,,0BBL4ZZ  ,"Excision of Left Lung, Percutaneous Endoscopic Approach",,,
,,0BBL7ZZ  ,"Excision of Left Lung, Via Natural or Artificial Opening",,,
,,0BTC0ZZ  ,"Resection of Right Upper Lung Lobe, Open Approach",,,
,,0BTC4ZZ  ,"Resection of Right Upper Lung Lobe, Percutaneous Endoscopic Approach",,,
,,0BTD0ZZ  ,"Resection of Right Middle Lung Lobe, Open Approach",,,
,,0BTD4ZZ  ,"Resection of Right Middle Lung Lobe, Percutaneous Endoscopic Approach",,,
,,0BTF0ZZ  ,"Resection of Right Lower Lung Lobe, Open Approach",,,
,,0BTF4ZZ  ,"Resection of Right Lower Lung Lobe, Percutaneous Endoscopic Approach",,,
,,0BTG0ZZ  ,"Resection of Left Upper Lung Lobe, Open Approach",,,
,,0BTG4ZZ  ,"Resection of Left Upper Lung Lobe, Percutaneous Endoscopic Approach",,,
,,0BTH0ZZ  ,"Resection of Lung Lingula, Open Approach",,,
,,0BTH4ZZ  ,"Resection of Lung Lingula, Percutaneous Endoscopic Approach",,,
,,0BTJ0ZZ  ,"Resection of Left Lower Lung Lobe, Open Approach",,,
,,0BTJ4ZZ  ,"Resection of Left Lower Lung Lobe, Percutaneous Endoscopic Approach",,,
,,0BTK0ZZ  ,"Resection of Right Lung, Open Approach",,,
,,0BTK4ZZ  ,"Resection of Right Lung, Percutaneous Endoscopic Approach",,,
,,0BTL0ZZ  ,"Resection of Left Lung, Open Approach",,,
,,0BTL4ZZ  ,"Resection of Left Lung, Percutaneous Endoscopic Approach",,,
,,0BTM0ZZ  ,"Resection of Bilateral Lungs, Open Approach",,,
,,0BTM4ZZ  ,"Resection of Bilateral Lungs, Percutaneous Endoscopic Approach",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
